survey_year,indicator,category,label,value
2008,stunting,Region,Central,33.7
2008,stunting,Region,Greater Accra,14.2
2008,stunting,Region,Volta (pre 2022),26.8
2008,stunting,Region,Eastern,37.9
2008,stunting,Region,Ashanti,26.5
2008,stunting,Region,Brong-Ahafo,25.2
2008,stunting,Region,"Northern, Upper West, Upper East",32.2
2008,stunting,Region,..Northern (pre 2022),32.4
2008,stunting,Region,..Upper West,24.6
2008,stunting,Region,..Upper East,36
2014,stunting,Sex,Male,20.4
2014,stunting,Sex,Female,17
2014,stunting,Age in months,<6,8
2014,stunting,Age in months,6-8,5.9
2014,stunting,Age in months,9-11,10.5
2014,stunting,Age in months,12-17,12.7
2014,stunting,Age in months,18-23,21.9
2014,stunting,Age in months,24-35,28.2
2014,stunting,Age in months,36-47,22.9
2014,stunting,Age in months,48-59,17.7
2014,stunting,Residence,Urban,14.8
2014,stunting,Residence,Rural,22.1
2014,stunting,Education,No education,26.1
2014,stunting,Education,Primary,19.8
2014,stunting,Education,Secondary,13.4
2014,stunting,Education,Higher,4.3
2014,stunting,Education (2 groups),No education or primary,23.5
2014,stunting,Education (2 groups),Secondary or higher,12.8
2014,stunting,Wealth quintile,Lowest,24.8
2014,stunting,Wealth quintile,Second,25.5
2014,stunting,Wealth quintile,Middle,17.9
2014,stunting,Wealth quintile,Fourth,14.4
2014,stunting,Wealth quintile,Highest,8.5
2014,stunting,Mother's interview status,Interviewed,18
2014,stunting,Mother's interview status,Not interviewed but in household,21.5
2014,stunting,Mother's interview status,Not interviewed and not in household,26.5
2014,stunting,Size at birth,Very small,39.8
2014,stunting,Size at birth,Small,18.3
2014,stunting,Size at birth,Average or larger,16.8
2014,stunting,Birth interval,First birth,16.9
2014,stunting,Birth interval,Less than 24 months,28.7
2014,stunting,Birth interval,24-47 months,18.9
2014,stunting,Birth interval,48+ months,14.3
2014,stunting,Mother's nutritional status,Thin (BMI < 18.5),21.5
2014,stunting,Mother's nutritional status,Normal (BMI 18.5-24.9),22.8
2014,stunting,Mother's nutritional status,Overweight/ obese (BMI >= 25.0),10.4
2014,stunting,Region,Western (pre 2022),17.7
2014,stunting,Region,Central,22
2014,stunting,Region,Greater Accra,10.4
2014,stunting,Region,Volta (pre 2022),19.3
2014,stunting,Region,Eastern,17
2014,stunting,Region,Ashanti,16.1
2014,stunting,Region,Brong-Ahafo,17.2
2014,stunting,Region,"Northern, Upper West, Upper East",27.6
2014,stunting,Region,..Northern (pre 2022),33.1
2014,stunting,Region,..Upper West,22.2
2014,stunting,Region,..Upper East,14.4
2022,stunting,Sex,Male,19.4
2022,stunting,Sex,Female,15.3
2022,stunting,Age in months,<6,13.2
2022,stunting,Age in months,6-8,10
2022,stunting,Age in months,9-11,13
2022,stunting,Age in months,12-17,17.1
2022,stunting,Age in months,18-23,17.3
2022,stunting,Age in months,24-35,24.6
2022,stunting,Age in months,36-47,18.8
2022,stunting,Age in months,48-59,14.2
2022,stunting,Age in months,6-11,11.5
2022,stunting,Age in months,12-23,17.2
2022,stunting,Age in months,0-23,14.9
2022,stunting,Age in months,24-59,19.2
2022,stunting,Mother's age at birth,< 20,25.6
2022,stunting,Mother's age at birth,20-34,16.6
2022,stunting,Mother's age at birth,35-49,14.7
2022,stunting,Residence,Urban,15.1
2022,stunting,Residence,Rural,19.6
2022,stunting,Education,No education,24.4
2022,stunting,Education,Primary,18.5
2022,stunting,Education,Secondary,15.3
2022,stunting,Education,Higher,5.7
2022,stunting,Education (2 groups),No education or primary,22.1
2022,stunting,Education (2 groups),Secondary or higher,13.9
2022,stunting,Wealth quintile,Lowest,22.8
2022,stunting,Wealth quintile,Second,22
2022,stunting,Wealth quintile,Middle,16.9
2022,stunting,Wealth quintile,Fourth,15.5
2022,stunting,Wealth quintile,Highest,7.5
2022,stunting,Mother's interview status,Interviewed,17
2022,stunting,Mother's interview status,Not interviewed but in household,21.4
2022,stunting,Mother's interview status,Not interviewed and not in household,21.1
2022,stunting,Size at birth,Very small,33.2
